RESTAURANT;DIRECCION;TELEFONO
Pablitos Burguer;San Pablo 1951, Santiago, Región Metropolitana, Chile;9 6631 6496
Cafe Jardin Providencia;Avenida Pedro de Valdivia 1974, Providencia, Chile;Telefono no encontrado
Cafe Vita Pizzocas;Av. Luis Thayer Ojeda 95, 7510022 Providencia, Región Metropolitana, Chile;9 3599 5157
The Work Wings;San Francisco 206, Santiago, Región Metropolitana, Chile;Telefono no encontrado
Crema y Nata;José Manuel Infante 201, Providencia, Chile;Telefono no encontrado
D Burger;Av. Pedro de Valdivia 1974, 7511284 Providencia, Región Metropolitana, Chile;Telefono no encontrado
Woody Coffee And Bakery;Av. Pedro de Valdivia 2885, Ñuñoa, Chile;(2) 2510 1900
Panino Lab;General Holley 76, Providencia, Chile;Telefono no encontrado
Café Precolombino;Bandera 361, Santiago, 8320298, Región Metropolitana, Chile;9 3012 8028
Pilaos;AV INDEPENDENCIA 640;Telefono no encontrado
The Pizza Factory;Cerro Colorado 5295;(2) 3210 0778
La Ruffina;Valenzuela Castillo 1260, Providencia;(2) 2969 4550
Nicecream;San Pío X 2387, Providencia, Región Metropolitana, Chile;9 4894 7331
Mister Fish;General flores 39;(2) 2825 7852
Romaria Pizzería;Av Vitacura 3396, Vitacura;(2) 2436 7227
El Brasero;Gral Francisco Barceló 12, Local 5, Las Condes;Telefono no encontrado
Buffalo Waffles;Avenida Holanda 073, Santiago de Chile;9 8137 9878
Dominó;Hernando de Aguirre 35, Providencia;Telefono no encontrado
Palacio Danubio Azul;Reyes Lavalle 3240;(2) 2234 4688
Italita;Nueva Los Leones, 144;(2) 2244 1070
Pronto Sándwich;Av. Manuel Montt 1349;(2) 2209 1845
Get the wok.;Avenida Los Leones 22, Providencia, Chile;9 4446 2425
Grido;Av. Providencia 2358, Providencia, Chile;Telefono no encontrado
Oro y Carbón;Bellavista 0894 - Providencia;9 5007 2696
Carl's Jr.;Avenida Vitacura 2751, Las Condes, Chile;(2) 3239 9771
Chicken Factory;Nueva Costanera 3114 Vitacura;(33) 242 7550
Pizza Hut;Guardia vieja 105;600 424 6000
Soul of India;Av Vitacura 4111, Vitacura;9 9887 9775
La Rambla;Av. Tabancura 1344, Vitacura;(2) 2954 2544
Labibe;Flandes 1828;(2) 2717 6181
Ay mi madre;Avenida Providencia 1713, Providencia;9 4497 8597
Mei;7203, Cristóbal Colón, Las Condes, Región Metropolitana;(2) 2342 3246
La Minguita;La Capitania 70, Local 2, Las Condes;(2) 2297 3549
Isabella Pizzas Ricas;Emilio Vaisse 592, Providencia;9 7557 6442
Alemán Experto;Pedro de Valdivia 1683, Providencia;(2) 2906 2538
The Chilean;Av. Italia 1484, Providencia;(2) 2993 5392
Sushi Ryge;Manuel Montt 1221, Providencia;(2) 3224 6900
La Fabbrica;Av Ossa 123, La Reina;(2) 2830 6208
P.F. Chang's;Isisdora Goyenechea 2940;(2) 2307 6635
Pastas Nenetta;Los Leones 185 Providencia;9 8276 5080
Telepizza;Av. Providencia 1095, Providencia, Región Metropolitana;(2) 2632 0606
Fuente las Condes;Chesterton 7380 Las Condes, Chile;9 6588 9336
Sanguchería Petrü;Jose Pedro Alessandri #18 Ñuñoa;9 3404 7837
Autentiko French Tacos;0296 Santa Isabel - Providencia - Santiago;9 3094 4423
Sushimi;Irarrazaval 1998 Ñuñoa;(2) 2969 3803
Arepas Food & Shop;Carlos Alvarado 7477, Local 9, Las Condes;(2) 2954 9956
La Casa Orgánica;IV Centenario 1045 las condes;9 3379 6707
Chung Hwa;Apoquindo 5280, Las Condes;(2) 2201 0936
Oceanika Sushi;Santa Rosa 298 Santiago;9 7738 1286
Yiyi;Av Vitacura 3269;Telefono no encontrado
Chefs;Gilberto Fuenzalida 169 L 30 Las condes;(2) 2969 8608
Tung Fong Comida China;Barcelona 2076, Providencia, Región Metropolitana, Chile;(2) 2335 0176
Mr Kebab;LARRAIN 6741, LA REINA;(2) 2401 0743
Rock The Food;Vicuña Mackenna 830, Ñuñoa, Región Metropolitana;Telefono no encontrado
Cinnabon;av andres bello 2447, local 5106, providencia;(2) 2618 9826
Restaurant Amistad;Loreley 87 La Reina Región Metropolitana;(2) 2226 3628
El Toldo Azul;Isidora Goyenechea 3200 Las Condes Región Metropolitana;(2) 2233 2204
Rollin Sushi;Luis Beltran 1895 Ñuñoa;(2) 2204 3698
Fukai;EL COIGUE 3886, VITACURA;(2) 2840 8333
Barbazul;Tobalaba 1155, Providencia;Telefono no encontrado
Dubai Sushi;avenida cristobal colon 8669;9 9302 0815
La Perla Del Pacifico;Av. Kennedy 5413, Local, 372 A, Piso 1, Las Condes;Telefono no encontrado
Mr. Jack;Av Presidente Kennedy 5413, Local 380, piso 2, Las Condes, Región Metropolitana;Telefono no encontrado
Parrilladas Mas y Mas;Ricardo Cumming 69, Santiago, Región;(2) 2699 4804
Tamashi;Manuel Montt 1593, Providencia;(2) 2416 9465
Tony Roma´s;Avda. Kennedy 5413, Local 370, Las Condes;(2) 3223 8932
Waldo's;Nueva de Lyon 45, Local 7;Telefono no encontrado
Chevere y Bakan;carlos ossandon 1635 la reina;9 3495 0333
La Huamantanga Fuente Peruana;Irarrazaval 3267;(2) 3224 9628
Nori Sushi Ñuñoa;Rodrigo de Araya 3040 Ñuñoa Región Metropolitana;(2) 2840 2121
La Sopería;GIRARDI 1413 PROVIDENCIA;(2) 2204 6217
Fuente Chilena;Apoquindo 3012, Las Condes;(2) 2964 3914
Wendy's;Encomenderos 300, Las Condes, Región Metropolitana;600 570 0370
Ciudadano;SEMINARIO 400 PROVIDENCIA;(2) 2248 9548
Ciudad Vieja;Constitución 92 Providencia Región Metropolitana Chile;(2) 2248 9412
Mi li xuan;Alejandro Flemming 8999, las condes;(2) 2220 0956
Cora Sushi;Victor manuel 1150;(2) 2791 3320
Irreverente;Barón Pierre de Coubertin 44, Santiago, Región Metropolitana;9 3468 0504
Pasta Basta;Isidora Goyenechea 2867, Las Condes;(2) 2394 2470
Imperio Oriental;El Cohiue 3886, Vitacura;Telefono no encontrado
Arlecchino Pizzas;alférez real 919 providencia;(2) 3265 7583
In Huinchi;Avda Apoquindo 7498 Las Condes;(2) 2220 8184
Fajita Express;Las Urbinas 43 Providencia Región Metropolitana;(2) 2397 0287
Capellán 8;Capellán Abarzúa 8, Santiago, Providencia, Región Metropolitana;(2) 2957 9360
MANTECADO;Vicuña Mackenna 596, Providencia;9 4582 5629
Chili's;Andrés Bello 2425, Las Condes local 5128 5to piso;Telefono no encontrado
China Wok;Av. Andres Bello N 2433 Local 5521;600 570 0371
Helados San Francisco;Av Larraín 5862, mall plaza egaña nivel 3 (al lado de Ripley);Telefono no encontrado
Ukiyo Sushi;Eyzaguirre 1180;(2) 3248 0134
Kubiro Sushi Centro;santa elena 749, local 22 (llegando a 10 de Julio), Santiago;Telefono no encontrado
Maskepan;Manuel Mont 398, providencia;9 7898 9853
Tarragona;Avda. Independencia 585 Local FC02, Independencia;Telefono no encontrado
El Pollo Caballo;avenida larrain 6790, la reina;(2) 2227 0200
Trattoria Rita;Av Presidente Kennedy 5413, Las Condes, Vitacura, Región Metropolitana, Chile, Boulevard Parque Arauco, Local 369,;Telefono no encontrado
Japo - Casa Carmencita;avenida IV Centenario 766, Las Condes, Chile;Telefono no encontrado
Teke Factory  Fabrica de Tequeños;Avenida Tobalaba 1589 (primer Piso), Providencia. Santiago;9 3426 5629
Cocina de Kaleta;Av. Pdte. Kennedy Nº5413, Las Condes;(2) 2656 7013
La Burguesita by La Burguesía;Av Vitacura 1754, Vitacura, Región Metropolitana;(2) 2791 6532
Fu Lin;Santo Domingo 769, Santiago;(2) 2639 9511
Teclados;Av Vitacura 3917, Vitacura, Región Metropolitana;(2) 2263 4975
Buffet Express;Av. Andres Bello 2477, Local L-5538, Providencia;Telefono no encontrado
Pollo Stop Crispy;(SÁBADO Y DOMINGO ENTRAR POR ANDRES BELLOS LIBRERÍA ANTÁRTIDA) Avenida Andrés Bello 2425, Providencia, Región Metropolitana;Telefono no encontrado
Rico Espacio;Av. Apoquindo 6988, Las Condes, Región Metropolitana;(2) 2880 8730
Lomito Alemán Ñuñoa;Avenida Grecia 3107 Ñuñoa;(2) 2356 8477
Libanazo;av, nueva providencia 2034 , providencia;9 5042 9921
Melt Pizzas;Callao 2912, Las Condes, Región Metropolitana, Chile;(2) 3278 1900
Pizza Nostra;Providencia 1975, Providencia;(2) 2232 3556
Dony Doner;Avenida Providencia 1457, Providencia;(2) 2235 2731
Rocoto;Av. Pedro de Valdivia 2573, Ñuñoa;(2) 2274 6071
Katsumi Sushi & Ceviche;Monseñor Edwards 1638. local 2 la reina;9 5830 3614
Pizza Hut;Andrés Bello 2447 Providencia Región Metropolitana local Local 5513;600 424 6000
Churromania;Av. Providencia 2046 Providencia Región Metropolitana;Telefono no encontrado
Apero;Avda Presidente Riesco 5330 local 101 B, Las Condes;(2) 3324 7957
Sushi Blues;Andrés Bello 2425, Providencia. Nivel 5 Patio de Comidas;(2) 2841 9999
Arepas Food and Shop Providencia;luis thayer ojeda 95, providencia;(2) 3245 9422
Mamut;Av. Apoquindo 3038 Las Condes Región Metropolitana local 1;Telefono no encontrado
Otto Pollo;Av. José Pedro Alessandri 1771, Ñuñoa, Región Metropolitana;(2) 2326 7370
Milanos Pizza;Av. Manuel Montt 1481 Providencia Región Metropolitana;(2) 3273 3500
Route 66;Isidora goyenechea 2960 las condes;(2) 3266 9954
Pedro Juan & Diego;Entrega en local Pollo Stop (SÁBADO Y DOMINGO ENTRAR POR ANDRES BELLOS LIBRERÍA ANTÁRTIDA) Andrés Bello 2447 Providencia Región Metropolitana local 5009;Telefono no encontrado
Pulpork-Original Pulled Pork;San Sebastián 2800, Las Condes;Telefono no encontrado
Dulcería Santa Elena;Av Vitacura 5480, Vitacura, Chile;9 4772 9014
El Sol Sublime;Príncipe de Gales 6580 La Reina Región Metropolitana;(2) 2226 1145
La Pollería;Av. Pedro de Valdivia 2573, Ñuñoa, Región Metropolitana;(2) 2274 6071
Taco Bell;Av. Nueva Providencia 2089 Providencia Región Metropolitana;Telefono no encontrado
Do Sushi Artesanal;Av. Holanda 67, Providencia;9 4850 2969
Santo Gohan;Bucarest 104 Providencia;Telefono no encontrado
Waffles Belgas;Avenida Italia 1307;9 9943 2434
Benvenutto;Vicuña Mackenna 276 Providencia Región Metropolitana;(2) 2634 2865
Rustik Cafetería de Especialidad;Av. Condell 1438, Providencia, Chile;9 3591 5587
Vapiano;Providencia 1984, Providencia;(2) 3271 9495
Masala;Roberto Espinoza 718 Santiago Región Metropolitana;(2) 2222 3757
Pollo Loco;Seminario 88 Providencia Región Metropolitana;(2) 3224 3358
El Mastique;Dorsal 584 Recoleta Región Metropolitana;9 6679 4449
Saki Sushi;Sta Victoria 192, Santiago, Región Metropolitana;(2) 3226 0952
La Sanguchera del Barrio;(Después de las 19:00 entrada por calle Nueva Tobalaba) Av. Andrés Bello 2425, Providencia, Región Metropolitana, Chile;Telefono no encontrado
Take a Wok;OJO: RETIRAR EN TANTA (Después de las 19:00 entrada por calle Nueva Tobalaba) Av. Andres Bello 2447 Local 5112, Providencia;Telefono no encontrado
Dulce Luna;Av Presidente Kennedy 5413, Las Condes, Vitacura, Región Metropolitana, Chile, local 7007;Telefono no encontrado
Havanna;Andrés bello 2447 local 6334 - Costanera Center piso 3;(2) 2916 9226
Doggis;Av. Apoquindo 3038 Las Condes Región Metropolitana Chile local 243;Telefono no encontrado
Ica;Isidora Goyenechea 2939, Las Condes, Santiago, Región Metropolitana, Chile (frente Route 66);Telefono no encontrado
De Pana!;Lincoyán 920, Ñuñoa, Región Metropolitana, Chile;Telefono no encontrado
Croq Delice;Nueva Los Leones, 30, Providencia, Región Metropolitana;(2) 3251 8751
Mr Lucas;Jose domingo cañas 2183;9 9107 0573
Little Caesars Pizza;Av. Vitacura 4607, Vitacura, Región Metropolitana, Chile;(2) 3278 3216
Farina;Av. Pedro de Valdivia, 2520, Ñuñoa, Región Metropolitana;9 2181 1007
La Casa Vieja;Av Vitacura, 8411, Vitacura, Región Metropolitana;(2) 2202 0355
Affogato Heladería y Café;Cóndor 1011, Santiago, Región Metropolitana, Chile;9 7962 6573
Los Buenos Muchachos;Ricardo Cumming 1031 Santiago Región Metropolitana;(2) 2566 4660
Kobo Sushi;Av. Manuel Montt 1565, Providencia, Región Metropolitana;9 3945 6495
Zerozero Pizza;Sta Magdalena 104, Providencia, Región Metropolitana, LOCAL 11;9 8386 2905
Trattoria Da Noi;Av. Italia 1791, Ñuñoa, Región Metropolitana;(2) 2274 2001
Big Boba Bubble Tea Shop;(OJO: Retiro en 5to piso local número 5109) Av. Andres bello 2447, mall costanera;Telefono no encontrado
La Muzza Pizzería;Antonio Varas 364, local 101, Providencia, Región Metropolitana;9 2086 6720
Arabian Fusion Food Barrio Italia;Av. Italia 1609, Ñuñoa, Región Metropolitana, local 13;Telefono no encontrado
Estadio Español;Neveria 4971, Las Condes.;(2) 2410 2300
Schopdog;Av. Providencia 1995, Providencia, Región Metropolitana,;Telefono no encontrado
TPM Tomate Palta Mayo;Av. Hernando de Aguirre 156, Santiago, Providencia, Región Metropolitana;(2) 2933 4572
D'Fab;Av. Pdte. Riesco 5537, Las Condes, Región Metropolitana;(2) 2382 2589
Dulcería Frutillar;Av. Cristóbal Colón 5300, Las Condes, Región Metropolitana;(2) 2212 6932
Mascarpone;Francisco Bilbao 1185, Providencia;(2) 2341 9304
ConserBar;Av. Condell 1189, Providencia, Región Metropolitana;(2) 2471 0141
Shawerma;Cerro Arenales 871, Las Condes, Región Metropolitana;Telefono no encontrado
Lukai Sushi;San Patricio 4292, Vitacura, Región Metropolitana, local c;Telefono no encontrado
El Palacio de la Chorrillana;Pío Nono 201, Providencia, Región Metropolitana;9 3577 7714
Pollo Stop Asaduría;Las Urbinas 43, Providencia, Región Metropolitana (Retirar en local Fajita Express);Telefono no encontrado
Sweetfran;Av. Manuel Montt 119, Providencia, Región Metropolitana, Chile;Telefono no encontrado
Salvadora;Bucarest 104, Providencia, Chile;(2) 3224 8593
Akai Sushi;San Patricio 4292, Vitacura, Región Metropolitana, LOCAL C;Telefono no encontrado
Gelateria Italia;Av. Providencia 1975, Santiago, Providencia, Región Metropolitana;Telefono no encontrado
Sonder Meat....;Av. José Pedro Alessandri 821, Ñuñoa, Región Metropolitana,local 4;Telefono no encontrado
Montalbano;Av. Providencia 1995Providencia, Región MetropolitanaLocal 1 - SchopDog;Telefono no encontrado
Somos Perú Buffet;Av. Francisco Bilbao 1042, Providencia, Región Metropolitana;(2) 2209 4156
Empanadas San Valentino;Pío Nono 153, Providencia, Región Metropolitana (Restaurant El Palacio de la Chorrillana);Telefono no encontrado
Thai Express;Tobalaba 119, Providencia, Región Metropolitana;Telefono no encontrado
Chick;San Sebastián 2800, Las Condes.;Telefono no encontrado
Taqueria Th;Vicuña Mackenna 91 Providencia, Santiago, Región Metropolitana;9 3572 2203
Café Loreto;Av. Pedro de Valdivia 2876 Ñuñoa, Región Metropolitana;9 8631 0605
Dulcería Sweet Brownie;Rosario Sur 530Las Condes, Región Metropolitana;9 9821 9561
Lasaña Factory;El Coihue 3886, Vitacura, Región Metropolitana;Telefono no encontrado
La Nacional;(LOCAL PESCADOS CAPITALES) Nueva Costanera 3723, Vitacura;Telefono no encontrado
Pescados Capitales;Nueva Costanera 3723, Vitacura;(2) 2894 1495
Lumberjack's Grill;Sta Magdalena 88 Providencia Región Metropolitana local 9;9 4514 8940
Tortilla Factory;Gilberto Fuenzalida 153, Las Condes, Región Metropolitana;9 7748 6510
La Estrella;Av. José Pedro Alessandri 1665 Ñuñoa Región Metropolitana;(2) 2727 2483
I-Ching;Independencia 1928 Independencia, Región Metropolitana;(2) 2777 9828
Le Ñam;Aguas Claras 1700, La Reina;(2) 3282 0486
La Focaccia;El bosque norte 166, Las Condes;Telefono no encontrado
Empanadas RoySar;Antonio Varas 2487, Ñuñoa, Región Metropolitana;(2) 2204 7776
Avatar Sushi;Humberto Trucco 37, Ñuñoa, Región Metropolitana, Chile;Telefono no encontrado
Deseable® Pizza;Av. José Pedro Alessandri 821, Santiago, Región Metropolitana, Chile;(2) 2401 7766
Délices D'Alsace;Andacollo 1599, Providencia;(2) 2501 1794
Myteka;Enrique Mac Iver 272, Santiago, Región Metropolitana, Chile, local 11 y 12;9 6776 7282
La Burguesería;El Aguilucho 3181 Providencia, Región Metropolitana;9 3569 4194
The Greek;Encomenderos 113, Las Condes, Región Metropolitana, local 4;Telefono no encontrado
Perú Clásico;Lord Cochrane 655, Santiago, Región Metropolitana, Local B;Telefono no encontrado
Kimagure;El Aguilucho 3181, Providencia, Región Metropolitana;9 3569 4194
Le Poutine;El Aguilucho 3181Providencia, Región Metropolitana;9 3569 4194
Piso Uno;Sta Magdalena 116, Providencia, Región Metropolitana (Solo Rt con Autos y motos);Telefono no encontrado
El Arabish;av los leones 936 providencia region metropolitana chile;(2) 3255 9719
Bocanariz;jose victorino lastarria 276 santiago;(2) 2638 9893
Master Wok Providencia;Valenzuela Castillo 1260, Providencia, Región Metropolitana, Chile;Telefono no encontrado
Poke Fresh;Paseo Peatonal El Mañío 1637, Vitacura, Región Metropolitana (local Fukai - El coihue 3886);Telefono no encontrado
The Craft Burger;Cerro Colorado 5295, Las Condes, Región Metropolitana, Chile;(2) 3210 0778
Segreta Pizzeria;Las Hualtatas 7324, Vitacura, Chile;9 9316 8620
KFC;Andres Bello 2447, Providencia;600 473 0000
Ramen One;Avda Independencia 565, Independencia;(2) 3254 6108
Xin Hua;Irarrázaval 34, Ñuñoa, Chile;(2) 2635 0478
Indian Box - Veggie;Kennedy 5601, local G4-12, Piso 4;Telefono no encontrado
Biteme Organic Burger;avenida Apoquindo 4900 local 112 y 113;(2) 3340 4793
Bianco Gelato;Av. Andrés Bello 2446, Providencia, Chile_local 3224;Telefono no encontrado
Brussels Heart Of Chocolate;Sta Magdalena 187, Providencia, Región Metropolitana, Chile;(2) 2857 0635
Holy Chicken;(Retiro Cocina de Kaleta (Bazar Gourmet)) Av Presidente Kennedy 5413, Las Condes, Vitacura, Chile;Telefono no encontrado
La Fuente Carrera;Avenida Larrain 6097, La Reina, Chile_Local 6;9 9845 0361
Pizzario;av pedro de valdivia 335 providencia region metropolitana chile;(2) 3339 2638
Pizzería El encuentro G.A.S.Ch;Pérez Valenzuela 1109 - Local 35 Providencia Región Metropolitana Chile;Telefono no encontrado
Yapones;emilia tellez 5372 nunoa region metropolitana chile;9 3720 6363
Lukai Green & Salad;San Patricio 4292, Vitacura;Telefono no encontrado
Porca Pizzeria;alonso de cordova 5320 local 14a las condes region metropolitana chile;Telefono no encontrado
Restobar Compañia 1287;compania de jesus 1287 santiago region metropolitana chile;9 9633 0467
La Leona Las Condes;Noruega 6337, Las Condes, Región Metropolitana;(2) 2211 4411
Fresh Salads Vitacura;Av vitacura 2911 las condes region metropolitana chile;Telefono no encontrado
Sergios;avenida las condes 7126 las condes las condes;(2) 3224 9036
Porky;jose manuel infante 1414 providencia region metropolitana chile;Telefono no encontrado
Suo Food;Avenida Independencia 801, Independencia;(2) 2735 5014
Yeka;av salvador 857 providencia region metropolitana chile;9 7757 8712
Bao Mamba;gral holley 109 providencia region metropolitana chile;Telefono no encontrado
Sambal Sushi;Paseo Las Palmas, Providencia, Chile 2230 local c1;9 8443 3425
De Raíz;andres de fuenzalida 99 providencia region metropolitana chile;9 3104 4567
Brasur;San Antonio 434, local 8, Santiago, Santiago;Telefono no encontrado
Guacamole Mexican Grill;Av Tobalaba 201 providencia;(2) 2380 1572
Sushispop;Simón Bolívar 3702, Ñuñoa;(2) 3277 3958
Katsumi Sushi;Av. Salvador 2132, Ñuñoa, Región Metropolitana, Chile;(2) 2904 7080
Helados Fratelli;Avenida Presidente Kennedy lateral 7160, Vitacura, Chile;Telefono no encontrado
Bravissimo;Avenida Ossa 2282, La Reina;Telefono no encontrado
Restaurant Japon Delivery;vitacura 7128, Vitacura, Región Metropolitana, Chile;(2) 3340 1956
Dulce Pimienta;av providencia 455 providencia region metropolitana chile;9 5497 5013
California Chicken;Avenida José Pedro Alessandri 114, Ñuñoa, Chile;Telefono no encontrado
Waffles World;Pedro de ona 88 nunoa region metropolitana chile;9 7465 7883
pizzeria capri;geronimo de alderete 1423 vitacura region metropolitana chile;9 9500 0480
Burger King®;Av Vitacura 116, 144, Providencia, Región Metropolitana, Chile;Telefono no encontrado
Caprese;Av. Pdte. Kennedy Lateral 9001, Las Condes, Chile_ local 3229, ( Mirador Mall Alto las Condes);Telefono no encontrado
Tarros Mex;antonio de pastrana 2529 vitacura region metropolitana chile;Telefono no encontrado
Mas Que Hummus;Chile España 592, Ñuñoa, Chile_;Telefono no encontrado
Taco Express;Los Alerces 2958, Ñuñoa, Región Metropolitana, Chile;Telefono no encontrado
Excelencia China;Av. Manuel Montt 869, Providencia, Chile;(2) 2724 3337
Maxidea;Paula Jaraquemada 17, La Reina, Región Metropolitana, Chile_;9 5774 1276
Hambrientos;Tomás Andrews 67, Providencia, Región Metropolitana, Chile_;9 6796 6840
